episode/Average_return,episode/Entropy,episode/Policy_loss,episode/Reward,episode/Value_loss,epoch,step
,0.17601609230041504,-43.987831115722656,43.75,98.67546081542969,91,3649
,-0.12835979461669922,-64.43891143798828,75.0,95.95352172851562,92,3699
,-0.38667523860931396,-55.75435256958008,65.625,93.21992492675781,93,3749
,-0.323361873626709,-78.48641967773438,100.0,82.5649642944336,94,3799
,-0.41139930486679077,-26.434404373168945,53.125,84.96997833251953,96,3849
,-0.6145796179771423,-57.902305603027344,96.875,59.45121765136719,97,3899
,-0.7166833281517029,-42.65048599243164,100.0,40.07217788696289,98,3949
,-0.9168074131011963,-16.600013732910156,100.0,17.366851806640625,99,3999
-85.76119232177734,,,,,100,4039
,-0.913594663143158,-0.4060937464237213,100.0,0.09008696675300598,101,4049
,-0.5751801133155823,-0.5791758298873901,100.0,0.16413713991641998,102,4099
